"hf_ng","area_size","area_size_s","log_hf_ng","epg","epg_s","age","sex","density","density_s","log_area","log_area_s","authority","self_drive","session","region","campaign","ndvi_1m","ndvi_1m_s","site"
491.882353,183,-0.275716547424697,6.19823956797988,2700,0.652429259875642,"A","F",0.524590164,-0.518206629671758,5.20948615284142,-0.169723740906543,"Private","prohibited","south1","south","1",0.238333333333333,-0.15125059465047,"Site 12"
620.705009,183,-0.275716547424697,6.4308559433081,1675,-0.0525521512537789,"A","F",0.524590164,-0.518206629671758,5.20948615284142,-0.169723740906543,"Private","prohibited","south1","south","1",0.238333333333333,-0.15125059465047,"Site 12"
87.369403,183,-0.275716547424697,4.47014514127762,1600,-0.104136156946176,"A","M",0.524590164,-0.518206629671758,5.20948615284142,-0.169723740906543,"Private","prohibited","south1","south","1",0.238333333333333,-0.15125059465047,"Site 12"
78.974855,183,-0.275716547424697,4.3691295106624,1425,-0.224498836895101,"A","M",0.524590164,-0.518206629671758,5.20948615284142,-0.169723740906543,"Private","prohibited","south1","south","1",0.238333333333333,-0.15125059465047,"Site 12"
300.867052,200,-0.272736145085243,5.70666847946849,1325,-0.29327751115163,"A","M",0.21,-0.958581586981562,5.29831736654804,-0.108838354095268,"Private","prohibited","south1","south","1",0.328,1.16298149459276,"Site 10"
321.866405,200,-0.272736145085243,5.77413656814885,1575,-0.121330825510308,"A","F",0.21,-0.958581586981562,5.29831736654804,-0.108838354095268,"Private","prohibited","south1","south","1",0.328,1.16298149459276,"Site 10"
445.673624,30,-0.302540168479776,6.09958689938154,1350,-0.276082842587498,"A","M",0.466666667,-0.59929008502928,3.40119738166216,-1.40913449198959,"Private","prohibited","south1","south","1",0.299,0.737932454577293,"Site 7"
394.719101,30,-0.302540168479776,5.97817437521461,1325,-0.29327751115163,"A","F",0.466666667,-0.59929008502928,3.40119738166216,-1.40913449198959,"Private","prohibited","south1","south","1",0.299,0.737932454577293,"Site 7"
767.030075,30,-0.302540168479776,6.64252601181103,1150,-0.413640191100556,"A","M",0.466666667,-0.59929008502928,3.40119738166216,-1.40913449198959,"Private","prohibited","south1","south","1",0.299,0.737932454577293,"Site 7"
720.755814,30,-0.302540168479776,6.58030040308327,1775,0.0162265230027499,"A","M",0.466666667,-0.59929008502928,3.40119738166216,-1.40913449198959,"Private","prohibited","south1","south","1",0.299,0.737932454577293,"Site 7"
196.094675,27,-0.303066121833798,5.27859757832061,3300,1.06510130541482,"A","M",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
328.526523,27,-0.303066121833798,5.79461757439142,400,-0.929480248024522,"A","M",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
223.150685,27,-0.303066121833798,5.40784726075464,3750,1.3746053395692,"SA","M",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
325.596869,27,-0.303066121833798,5.78566001798878,4925,2.18275476208341,"SA","M",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
346.74812,27,-0.303066121833798,5.84859863740663,450,-0.895090910896258,"A","F",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
161.052632,27,-0.303066121833798,5.08173121839437,4325,1.77008271654424,"A","M",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
291.301115,27,-0.303066121833798,5.67435749162713,2825,0.738402602696303,"SA","F",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
316.494465,27,-0.303066121833798,5.75730575327965,4050,1.58094136233878,"A","F",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
356.686047,27,-0.303066121833798,5.8768559746948,5025,2.25153343633994,"A","F",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
317.347328,27,-0.303066121833798,5.75999684599118,2225,0.32573055715713,"A","F",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
536.444444,27,-0.303066121833798,6.2849630040527,975,-0.534002871049481,"A","M",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
339.433272,27,-0.303066121833798,5.82727737981618,1900,0.102199865823411,"SA","M",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
360,27,-0.303066121833798,5.88610403145016,2000,0.17097854007994,"SA","M",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
348.571429,27,-0.303066121833798,5.85384317046144,3125,0.94473862546589,"A","F",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
242.967033,27,-0.303066121833798,5.49292576747033,4050,1.58094136233878,"A","F",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
210.057471,27,-0.303066121833798,5.34738116470485,3425,1.15107464823548,"SA","M",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
219.901768,27,-0.303066121833798,5.39318093754658,8750,4.81353905239564,"A","F",1.62962963,1.02866852204277,3.29583686600433,-1.48134915036011,"Private","prohibited","south1","south","1",0.342,1.36817758287609,"Site 5"
